Income,Total_amount_spent,Length_of_Association
58138,1617,100
46344,27,81
71613,776,88
26646,53,82
58293,422,83
62513,716,87
55635,590,97
33454,169,92
30351,46,91
18985.5,49,81
18985.5,61,97
63033,1102,85
59354,310,85
18985.5,46,99
82800,1315,97
41850,96,96
37760,317,100
76995,1778.25,93
33812,133,98
37040,316,101
18985.5,1730,96
58607,972,96
65324,544,83
40689,444,93
18985.5,75,96
53359,257,91
38360,131,91
84130,1672,85
18985.5,30,79
38620,318,92
40548,120,99
46610,302,98
68657,1196,94
49389,65,88
67353,913,84
23718,81,88
42429,67,82
48948,902,95
80011,1395,92
20559,53,94
21994,22,96
18985.5,31,87
79941,984,78
18985.5,122,98
41728,55,91
72550,1319,98
65486,507,79
79143,1693,101
35790,72,96
82582,1617,78
66373,606,90
82384,1778.25,97
70287,1093,93
27938,29,80
55954,518,82
75777,1438,90
66653,612,100
61823,884,94
67680,606,90
70666,1076,85
25721,34,91
32474,22,79
84130,1274,81
69096,653,87
74854,1562,93
66991,1253,100
65031,863,93
60631,661,93
28332,65,80
40246,22,96
75251,1778.25,100
75825,1778.25,99
26326,22,88
56046,692,96
29760,165,100
26304,22,90
23559,79,90
38620,318,92
81361,778,82
29440,56,88
36138,151,89
50388,372,79
79593,1366,79
54178,194,83
42394,32,81
23626,43,79
30096,45,79
47916,606,97
51813,63,93
78497,978,85
50150,410,90
47823,72,89
34554,55,81
84130,1169,92
65846,1120,91
84130,1097,79
24594,29,84
49096,187,87
52413,910,95
38557,145,96
84130,850,97
77298,969,86
68126,1778.25,98
57288,608,78
84130,730,96
43974,551,97
50785,114,87
84130,1724,83
36550,577,94
30753,81,89
21918,33,85
56129,660,90
32557,80,82
19510,30,88
30992,43,92
84130,1135,94
71488,559,94
79607,1778.25,92
54348,90,78
77376,661,79
62998,463,87
61331,632,94
73448,725,82
41551,279,88
62981,1482,93
18985.5,29,101
33762,106,90
35860,49,79
36921,38,89
84130,1778.25,98
65104,1053,85
84130,1385,92
68352,871,88
41883,312,93
59809,877,98
23957,68,98
38547,22,88
35688,211,100
49605,127,78
59354,459,80
65747,460,82
46344,429,96
34176,89,79
61010,1021,99
69372,1381,94
49967,306,90
60199,22,87
55375,162,86
80317,1231,88
30523,22,90
70356,1706,98
23228,121,84
74165,1293,92
84130,1608,82
43482,88,85
62551,421,85
52332,259,88
66951,1117,86
26091,89,82
33456,36,80
28718,57,89
50447,148,80
53537,93,83
52074,119,81
80427,1778.25,100
83837,1318,96
38853,45,79
38285,22,78
78497,978,85
51650,191,79
18985.5,57,79
66835,1033,87
30477,66,83
28249,43,78
25271,50,97
32303,39,81
61286,608,89
74068,1581,93
45759,68,94
24882,80,100
66973,1282,91
36640,65,87
38872,91,91
51148,315,94
31353,31,84
69661,834,79
80067,1600,87
84130,1270,95
46854,263,81
69142,535,78
75922,1295,84
63693,1150,86
84130,1240,98
40637,38,89
18985.5,35,98
29604,53,84
48721,293,91
44794,65,78
64497,1778.25,100
46097,241,93
77972,1101,81
44377,264,99
46014,541,95
70951,1198,92
41443,482,81
52195,22,79
83790,1615,85
44551,285,88
69508,1135,97
45204,114,80
72460,1047,85
77622,714,80
30732,185,96
63887,1245,100
42011,189,93
51369,576,98
51537,1103,97
79930,1753,101
34320,22,82
37070,433,93
81975,1588,96
38590,22,91
18985.5,22,80
62745,1117,93
22212,69,84
23661,23,85
79761,605,87
18985.5,57,84
60182,22,79
73455,1778.25,86
64961,1009,96
22804,26,89
73687,1627,85
61074,1102,100
31686,22,79
80134,1690,91
75027,1390,96
67546,1778.25,100
65176,1531,98
31160,64,87
29938,26,86
84130,1112,93
26490,210,99
75702,1148,100
30899,33,99
63342,1101,98
45989,322,98
18985.5,44,91
40737,22,84
18985.5,31,99
69674,845,91
44159,275,78
37717,25,97
43776,275,95
38179,90,93
80124,1495,78
38097,184,98
72940,981,90
22070,67,87
69267,1635,99
31788,60,81
61905,231,83
29315,48,81
33378,99,95
66313,770,87
60714,957,95
77882,818,80
69867,925,93
63841,908,92
24480,102,94
51369,576,98
37760,317,100
65640,461,82
44319,37,80
30631,70,89
75278,930,95
50898,859,96
79946,1478,79
35416,390,90
32414,52,90
38361,137,84
82497,1778.25,98
18985.5,68,83
29672,25,94
55951,1374,100
35388,32,94
42386,100,95
68627,825,95
57912,916,81
35246,62,80
58821,728,86
46377,90,82
39747,273,80
23976,66,84
80950,1213,93
27038,107,99
77457,1157,82
64100,546,87
42670,241,92
18985.5,53,83
22574,37,86
70893,1508,95
54198,235,84
28839,32,81
40321,102,89
66503,401,101
30833,28,89
64795,680,95
34421,30,90
47025,22,82
64325,1307,95
40464,630,96
62187,1283,90
18985.5,65,90
27255,37,86
54432,38,92
29999,160,94
24072,23,92
33996,71,87
66334,1161,93
35178,59,96
22010,33,90
62204,946,100
75693,1442,97
30675,62,98
83003,1674,94
83532,1778.25,87
68655,1538,101
41411,139,85
55212,1182,97
59292,507,90
27190,22,88
82623,940,85
44300,42,90
84130,1190,78
30372,44,96
33181,22,84
71113,835,84
71952,1443,96
69759,1029,86
72099,1188,98
60000,1277,96
38643,49,85
50737,99,92
68462,1670,97
