Income,Recency,Total_amount_spent,Customer_purchases_webvisits,Length_of_Association,Age
58138.0,58,1617.0,32,101,64
46344.0,38,27.0,11,83,67
71613.0,26,776.0,25,89,56
26646.0,26,53.0,14,83,37
58293.0,94,422.0,24,84,40
62513.0,16,716.0,28,89,54
55635.0,34,590.0,27,99,50
33454.0,32,169.0,18,93,36
30351.0,19,46.0,15,92,47
18985.5,68,49.0,22,82,71
18985.5,59,61.0,14,99,45
63033.0,82,1102.0,18,86,62
59354.0,53,310.0,21,86,69
18985.5,38,46.0,13,100,34
82800.0,23,1315.0,29,98,71
41850.0,51,96.0,17,97,41
37760.0,20,317.0,20,101,71
76995.0,91,1778.25,31,94,71
33812.0,86,133.0,14,99,36
37040.0,41,316.0,20,102,39
18985.5,42,1730.0,33,97,42
58607.0,63,972.0,25,97,71
65324.0,0,544.0,24,84,67
40689.0,69,444.0,28,94,70
18985.5,89,75.0,15,97,52
53359.0,4,257.0,21,92,45
38360.0,26,131.0,12,92,33
84130.0,96,1672.0,28,86,56
18985.5,34,30.0,13,80,33
38620.0,56,318.0,14,93,58
40548.0,31,120.0,14,100,51
46610.0,8,302.0,23,99,69
68657.0,4,1196.0,25,95,71
49389.0,55,65.0,13,89,70
67353.0,37,913.0,30,85,51
23718.0,76,81.0,16,89,45
42429.0,99,67.0,12,83,48
48948.0,53,902.0,30,96,71
80011.0,3,1395.0,25,93,41
20559.0,88,53.0,15,95,36
21994.0,4,22.0,10,97,64
18985.5,19,31.0,13,88,46
79941.0,72,984.0,17,79,45
18985.5,24,122.0,19,99,33
41728.0,92,55.0,15,92,53
72550.0,39,1319.0,33,99,67
65486.0,29,507.0,19,80,64
79143.0,2,1693.0,32,102,57
35790.0,54,72.0,14,97,44
82582.0,54,1617.0,22,79,44
66373.0,57,606.0,26,91,43
82384.0,55,1778.25,28,98,66
70287.0,30,1093.0,24,94,55
27938.0,31,29.0,10,81,33
55954.0,63,518.0,26,83,53
75777.0,12,1438.0,22,91,39
66653.0,18,612.0,25,101,46
61823.0,26,884.0,31,95,69
67680.0,8,606.0,24,92,70
70666.0,29,1076.0,20,86,71
25721.0,75,34.0,12,92,50
32474.0,0,22.0,11,80,54
84130.0,19,1274.0,33,82,42
69096.0,4,653.0,22,88,63
74854.0,90,1562.0,24,94,51
66991.0,1,1253.0,24,101,67
65031.0,29,863.0,33,94,62
60631.0,88,661.0,31,94,46
28332.0,58,65.0,10,81,69
40246.0,68,22.0,10,97,44
75251.0,34,1778.25,24,101,49
75825.0,40,1778.25,26,100,45
26326.0,12,22.0,10,89,45
56046.0,9,692.0,29,97,56
29760.0,87,165.0,20,101,36
26304.0,5,22.0,11,91,52
23559.0,87,79.0,16,91,48
38620.0,56,318.0,14,93,58
81361.0,18,778.0,28,83,34
29440.0,95,56.0,14,89,61
36138.0,48,151.0,20,90,51
50388.0,3,372.0,24,80,64
79593.0,70,1366.0,21,80,48
54178.0,79,194.0,12,84,54
42394.0,69,32.0,12,82,49
23626.0,84,43.0,15,80,51
30096.0,30,45.0,12,80,38
47916.0,72,606.0,28,98,61
51813.0,37,63.0,14,94,49
78497.0,44,978.0,27,86,70
50150.0,32,410.0,21,91,38
47823.0,0,72.0,15,90,61
34554.0,43,55.0,13,82,62
84130.0,59,1169.0,32,93,42
65846.0,68,1120.0,20,92,71
84130.0,35,1097.0,21,80,62
24594.0,94,29.0,10,85,42
49096.0,15,187.0,20,88,57
52413.0,56,910.0,32,96,52
38557.0,17,145.0,16,97,43
84130.0,18,850.0,16,98,61
77298.0,46,969.0,27,87,42
68126.0,40,1778.25,26,99,33
57288.0,27,608.0,26,79,58
84130.0,95,730.0,28,97,33
43974.0,19,551.0,28,98,41
50785.0,27,114.0,14,88,59
84130.0,25,1724.0,16,84,51
36550.0,74,577.0,29,95,43
30753.0,85,81.0,12,91,54
21918.0,37,33.0,13,86,52
56129.0,65,660.0,26,91,68
32557.0,13,80.0,14,83,54
19510.0,63,30.0,13,89,36
30992.0,83,43.0,12,93,45
84130.0,69,1135.0,29,95,38
71488.0,87,559.0,17,95,56
79607.0,37,1778.25,17,93,37
54348.0,51,90.0,14,79,68
77376.0,72,661.0,27,80,65
62998.0,10,463.0,24,88,69
61331.0,42,632.0,31,95,63
73448.0,10,725.0,23,83,52
41551.0,51,279.0,24,89,57
62981.0,21,1482.0,26,94,54
18985.5,31,29.0,14,102,45
33762.0,61,106.0,17,91,62
35860.0,37,49.0,11,80,48
36921.0,74,38.0,14,90,56
84130.0,46,1778.25,24,99,33
65104.0,4,1053.0,24,86,45
84130.0,73,1385.0,25,93,59
68352.0,47,871.0,31,89,47
41883.0,13,312.0,19,94,33
59809.0,36,877.0,23,99,45
23957.0,47,68.0,12,99,46
38547.0,49,22.0,12,89,40
35688.0,94,211.0,24,101,48
49605.0,65,127.0,11,79,55
59354.0,59,459.0,19,81,68
65747.0,96,460.0,25,83,52
46344.0,28,429.0,24,97,49
34176.0,12,89.0,17,80,33
61010.0,57,1021.0,31,100,69
69372.0,10,1381.0,25,95,71
49967.0,4,306.0,22,91,63
60199.0,49,22.0,10,88,43
55375.0,3,162.0,11,87,44
80317.0,64,1231.0,19,89,66
30523.0,0,22.0,11,91,63
70356.0,20,1706.0,33,99,71
23228.0,91,121.0,19,85,37
74165.0,9,1293.0,22,93,46
84130.0,98,1608.0,33,83,48
43482.0,83,88.0,15,86,55
62551.0,27,421.0,21,86,68
52332.0,63,259.0,16,89,62
66951.0,46,1117.0,16,87,33
26091.0,84,89.0,14,83,64
33456.0,58,36.0,13,81,56
28718.0,78,57.0,15,90,39
50447.0,4,148.0,14,81,51
53537.0,17,93.0,13,84,62
52074.0,77,119.0,11,82,54
80427.0,56,1778.25,33,101,46
83837.0,79,1318.0,29,97,71
38853.0,90,45.0,14,80,51
38285.0,96,22.0,10,79,62
78497.0,44,978.0,27,86,70
51650.0,81,191.0,15,80,45
18985.5,77,57.0,15,80,33
66835.0,21,1033.0,26,88,71
30477.0,16,66.0,12,84,37
28249.0,80,43.0,12,79,60
25271.0,45,50.0,14,98,38
32303.0,63,39.0,12,83,51
61286.0,34,608.0,23,90,55
74068.0,14,1581.0,26,94,45
45759.0,13,68.0,14,95,57
24882.0,52,80.0,11,101,43
66973.0,98,1282.0,31,92,33
36640.0,99,65.0,11,88,71
38872.0,93,91.0,16,92,33
51148.0,38,315.0,22,95,48
31353.0,24,31.0,14,85,44
69661.0,80,834.0,26,80,41
80067.0,82,1600.0,19,88,67
84130.0,20,1270.0,19,96,67
46854.0,81,263.0,23,82,48
69142.0,50,535.0,24,79,69
75922.0,60,1295.0,19,85,53
63693.0,63,1150.0,33,87,43
84130.0,54,1240.0,30,99,44
40637.0,72,38.0,13,90,56
18985.5,5,35.0,10,99,37
29604.0,88,53.0,14,86,33
48721.0,50,293.0,23,92,58
44794.0,99,65.0,12,79,55
64497.0,17,1778.25,33,101,67
46097.0,11,241.0,19,94,65
77972.0,18,1101.0,21,82,67
44377.0,70,264.0,27,100,53
46014.0,21,541.0,33,96,47
70951.0,66,1198.0,18,93,36
41443.0,79,482.0,28,82,44
52195.0,2,22.0,12,80,43
83790.0,81,1615.0,28,86,71
